filename,date,hawkish_score,hawkish_hits,dovish_hits,stance,key_phrases
Inflation_Q4_2025_EN.txt,2025-10-01,8.6,66,12,Hawkish,🔴 inflation | 🔵 growth | 🔵 slowdown
Key_Economic_Developments_Q3_2025-EN.txt,2025-07-01,2.2,8,53,Dovish,🔵 growth | 🔴 inflation | 🔵 unemployment
Monthly_Bulletin_Jan_2026.txt,2026-01-01,2.8,3,12,Dovish,🔵 growth | 🔴 interest rate | 🔵 support
Saudi_IF_Report_2021_Final_DIGITAL_v3.txt,2021-01-01,1.1,1,133,Dovish,🔵 growth | 🔵 support | 🔵 recovery
Sixtieth_Annual_Report-EN.txt,2024-01-01,2.7,37,157,Dovish,🔵 growth | 🔵 support | 🔴 inflation
